Host,products,n_bgc
Rice,terpene,2575
Rice,RiPP-like,1771
Wheat,terpene,1087
Rice,NRPS,1078
Wheat,RiPP-like,886
Wheat,NRPS,771
Rice,arylpolyene,642
Rice,NRPS-like,632
Rice,hserlactone,627
Rice,redox-cofactor,602
Rice,RRE-containing,582
Maize,terpene,582
Alfalfa,RiPP-like,543
Maize,RiPP-like,502
Alfalfa,terpene,477
Wheat,T3PKS,443
Wheat,NRPS-like,441
Rice,siderophore,357
Rice,T3PKS,357
Rice,T1PKS,348
Wheat,T1PKS,346
Rice,betalactone,314
Maize,NRPS,294
Wheat,hserlactone,294
Wheat,siderophore,291
Wheat,betalactone,243
Maize,betalactone,238
Wheat,RRE-containing,221
Wheat,NAPAA,216
Rice,thioamitides,216
Maize,T3PKS,211
Maize,NRPS-like,211
Wheat,redox-cofactor,200
Alfalfa,NRPS,195
Alfalfa,hserlactone,192
Wheat,arylpolyene,189
Wheat,resorcinol,187
Maize,T1PKS,178
Alfalfa,NRPS-like,177
Rice,NAPAA,173
Maize,hserlactone,166
Maize,redox-cofactor,166
Alfalfa,T3PKS,165
Maize,NAPAA,162
Maize,siderophore,158
Rice,acyl_amino_acids,151
Wheat,thioamitides,151
Alfalfa,siderophore,129
Rice,ranthipeptide,125
Rice,lassopeptide,112
Alfalfa,RRE-containing,107
Alfalfa,betalactone,105
Wheat,lanthipeptide-class-i,104
Alfalfa,redox-cofactor,104
Rice,transAT-PKS-like,103
Alfalfa,thioamitides,101
Rice,hglE-KS,98
Alfalfa,arylpolyene,96
Rice,lanthipeptide-class-ii,92
Rice,resorcinol,90
Wheat,butyrolactone,89
Maize,arylpolyene,88
Alfalfa,T1PKS,88
Maize,RRE-containing,85
Alfalfa,NAPAA,81
Wheat,lassopeptide,80
Maize,thioamitides,78
Wheat,cyclic-lactone-autoinducer,75
Rice,NAGGN,75
Rice,butyrolactone,70
Rice,lanthipeptide-class-i,69
Alfalfa,lassopeptide,61
Wheat,proteusin,60
Rice,ladderane,59
Rice,NRPS;T1PKS,57
Maize,NAGGN,56
Rice,proteusin,56
Wheat,NRPS;T1PKS,54
Maize,lassopeptide,54
Rice,NRPS-like;T1PKS,52
Maize,lanthipeptide-class-i,52
Alfalfa,phosphonate,51
Wheat,LAP;RiPP-like,51
Wheat,NAGGN,50
Alfalfa,resorcinol,50
Wheat,hglE-KS,49
Wheat,T1PKS;NRPS,47
Wheat,ectoine,47
Alfalfa,acyl_amino_acids,47
Wheat,lanthipeptide-class-ii,47
Rice,T1PKS;NRPS,47
Rice,lanthipeptide-class-v,46
Wheat,phosphonate,45
Alfalfa,lanthipeptide-class-i,45
Rice,T1PKS;NRPS-like,45
Rice,indole,43
Maize,ectoine,43
Rice,ectoine,41
Wheat,LAP,41
Wheat,acyl_amino_acids,40
Wheat,lanthipeptide-class-v,39
Wheat,lanthipeptide-class-iv,39
Maize,lanthipeptide-class-ii,39
Rice,phosphonate,37
Wheat,lanthipeptide-class-iii,36
Maize,resorcinol,35
Alfalfa,NAGGN,35
Wheat,microviridin,35
Alfalfa,T1PKS;NRPS,33
Wheat,ranthipeptide,33
Wheat,other,32
Wheat,T1PKS;hglE-KS,32
Alfalfa,LAP;RiPP-like,30
Alfalfa,ectoine,29
Maize,LAP,28
Alfalfa,NRPS;T1PKS,28
Maize,microviridin,27
Rice,microviridin,26
Wheat,indole,25
Wheat,thiopeptide;thioamitides,24
Rice,LAP,24
Wheat,transAT-PKS-like,24
Rice,lanthipeptide-class-iii,24
Alfalfa,LAP,23
Rice,thiopeptide,23
Rice,arylpolyene;resorcinol,22
Alfalfa,hserlactone;lassopeptide,22
Maize,LAP;RiPP-like,22
Rice,hserlactone;lassopeptide,22
Maize,hserlactone;butyrolactone,22
Maize,cyclic-lactone-autoinducer,21
Maize,butyrolactone,21
Wheat,T1PKS;NRPS-like,21
Wheat,PKS-like,21
Alfalfa,lassopeptide;hserlactone,21
Alfalfa,butyrolactone,21
Alfalfa,ranthipeptide,21
Maize,lanthipeptide-class-iv,21
Maize,other,20
Maize,lanthipeptide-class-v,20
Wheat,NRPS-like;T1PKS,20
Wheat,T1PKS;NRPS-like;NRPS,19
Maize,T1PKS;NRPS,19
Alfalfa,T1PKS;NRPS-like,19
Wheat,phenazine,19
Maize,acyl_amino_acids,19
Wheat,hglE-KS;T1PKS,18
Maize,thiopeptide;LAP,18
Rice,lassopeptide;hserlactone,18
Alfalfa,other,17
Alfalfa,resorcinol;arylpolyene,17
Maize,transAT-PKS-like,17
Rice,resorcinol;arylpolyene,17
Alfalfa,proteusin,17
Wheat,furan,17
Rice,NRPS-like;NRPS,16
Rice,NRPS;NRPS-like,16
Rice,LAP;RiPP-like,16
Maize,NRPS;T1PKS,15
